,id,value
190,DT.ODA.ODAT.KD,Net official development assistance received (constant 2023 US$)
191,DT.ODA.ODAT.MP.ZS,"Net ODA received (% of imports of goods, services and primary income)"
192,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$)
193,DT.ODA.ODAT.XP.ZS,Net ODA received (% of central government expense)
194,DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)"
195,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and primary income)"
196,DT.TDS.DECT.GN.ZS,Total debt service (% of GNI)
197,DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)"
198,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)"
199,DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
200,DT.TDS.DPPG.GN.ZS,Public and publicly guaranteed debt service (% of GNI)
201,DT.TDS.DPPG.XP.ZS,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)"
202,DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)"
203,DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service)
204,EG.CFT.ACCS.RU.ZS,"Access to clean fuels and technologies for cooking, rural (% of rural population)"
205,EG.CFT.ACCS.UR.ZS,"Access to clean fuels and technologies for cooking, urban (% of urban population)"
206,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population)
207,EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2021 PPP GDP)
208,EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)"
209,EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)"
210,EG.ELC.ACCS.ZS,Access to electricity (% of population)
211,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total)
212,EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)"
213,EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total)
214,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output)
215,EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total)
216,EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total)
217,EG.ELC.PETR.ZS,Electricity production from oil sources (% of total)
218,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output)
219,EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)"
220,EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
221,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption)
222,EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent)
223,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)
224,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
225,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use)
226,EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total)
227,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)"
228,EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy)
229,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita)
230,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita)
231,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
232,EN.ATM.PM25.MC.T1.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)"
